   count file@project
    3501 whois@inetutils-2.5
    3661 libtasn1.so.6.6.3@libtasn1-4.19.0
    3754 rlogind@inetutils-2.5
    3767 states@enscript-1.6.6
    3950 inetd@inetutils-2.5
    4006 tftp@inetutils-2.5
    4231 libidn2.so.0.4.0@libidn-2.3.7
    4237 syslogd@inetutils-2.5
    4267 xargs@findutils-4.9.0
    4409 mino@gnudos-1.11.4
    4570 gzip@gzip-1.13
    4703 units@units-2.23
    5034 libgdbm.so.6.0.0@gdbm-1.23
    5492 gawk@gawk-5.3.0
    5492 gawk-5.3.0@gawk-5.3.0
    5608 libosip2.so.15.0.1@osip-5.3.1
    5896 libgslcblas.so.0.0.0@gsl-2.7.1
    6181 telnetd@inetutils-2.5
    6342 ftp@inetutils-2.5
    6581 uuencode@sharutils-4.15.2
    6652 unshar@sharutils-4.15.2
    6686 uudecode@sharutils-4.15.2
    6977 gdbmtool@gdbm-1.23
    7128 sort-pw-cfg@gnu-pw-mgr-2.7.4
    7434 libgsasl.so.18.0.0@gsasl-2.2.1
    7481 telnet@inetutils-2.5
    7848 datamash@datamash-1.8
    8445 recinf@recutils-1.9
    8536 recsel@recutils-1.9
    8566 recset@recutils-1.9
    8582 recfix@recutils-1.9
    8600 recdel@recutils-1.9
    8601 recins@recutils-1.9
    8621 recfmt@recutils-1.9
    8774 ftpd@inetutils-2.5
    8793 rec2csv@recutils-1.9
    8872 csv2rec@recutils-1.9
    9039 talkd@inetutils-2.5
    9296 shar@sharutils-4.15.2
    9452 locate@findutils-4.9.0
    9585 libmicrohttpd.so.12.62.1@libmicrohttpd-1.0.1
    9935 gnu-pw-mgr@gnu-pw-mgr-2.7.4
   10399 libiconv.so.2.6.1@libiconv-1.17
   10402 cflow@cflow-1.7
   10781 cpio@cpio-2.15
   10811 patch@patch-2.7.6
   11808 sed@sed-4.9
   12758 libosipparser2.so.15.0.1@osip-5.3.1
   13436 direvent@direvent-5.3
   13516 ld@binutils-2.42
   13516 ld.bfd@binutils-2.42
   13964 libplot.so.2.2.4@plotutils-2.6
   15680 libunistring.so.5.1.0@libunistring-1.2
   15766 grep@grep-3.11
   17834 tar@tar-1.35
   19558 gcal@gcal-4.1
   19691 find@findutils-4.9.0
   19776 liblightning.so.2.0.2@lightning-2.2.3
   20776 libreadline.so.8.2@readline-8.2
   25280 libgmp.so.10.5.0@gmp-6.3.0
   27197 librec.so.1.0.0@recutils-1.9
   29991 gprofng@binutils-2.42
   30093 gp-archive@binutils-2.42
   30093 gp-display-src@binutils-2.42
   30262 gp-collect-app@binutils-2.42
   30769 gp-display-text@binutils-2.42
   32089 readelf@binutils-2.42
   47338 libglpk.so.40.3.1@glpk-5.0
   47355 c++filt@binutils-2.42
   47516 addr2line@binutils-2.42
   47604 strings@binutils-2.42
   47647 size@binutils-2.42
   48510 nm@binutils-2.42
   49330 ranlib@binutils-2.42
   49330 ar@binutils-2.42
   49859 gprof@binutils-2.42
   55079 objcopy@binutils-2.42
   55079 strip@binutils-2.42
   70289 as@binutils-2.42
   72869 objdump@binutils-2.42
   86632 xorriso@xorriso-1.5.6
  227510 libgsl.so.27.0.0@gsl-2.7.1
